Project Name: WolfTrack3.0,,,
https://github.com/nehajaideep/WolfTrack3.0,,,
Group No 69,Total,70,
Questions,Evidence,Rating,
Video,wolftrackv3.mp4,2,
Workload is spread over the whole team (one team member is often Xtimes more productive than the others...,,,
"but nevertheless, here is a track record that everyone is contributing a lot)",Additions and deletion count of lines vary. Commits done are same. Can be seen in the contributor graph,2,
Number of commits,https://github.com/nehajaideep/WolfTrack3.0/graphs/contributors,3,
Number of commits: by different people,https://github.com/nehajaideep/WolfTrack3.0/graphs/contributors,3,
Issues reports: there are many,https://github.com/nehajaideep/WolfTrack3.0/issues?q=is%3Aissue+is%3Aclosed,3,
Issues are being closed,https://github.com/nehajaideep/WolfTrack3.0/issues?q=is%3Aissue+is%3Aclosed,3,
DOI badge: exists,yes in GIT,3,
"Docs: doco generated, format not ugly",yes in GIT,3,
Docs: what: point descriptions of each class/function (in isolation),File overview present. Overview not for each function or class. https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/docs/WolfTrack3.0_Documentation.pdf,2,
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",One single video only for entire application,2,
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",yes in GIT Readme https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/README.md,3,
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",yes in GIT Readme https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/README.md,3,
Use of version control tools,GIT  https://github.com/nehajaideep/WolfTrack3.0/tree/Group10StableBranch/.github/workflows,3,
Use of style checkers,flake8 https://github.com/nehajaideep/WolfTrack3.0/tree/Group10StableBranch/.github/workflows,3,
Use of code formatters.,flake8 https://github.com/nehajaideep/WolfTrack3.0/tree/Group10StableBranch/.github/workflows,3,
Use of syntax checkers.,flake8 https://github.com/nehajaideep/WolfTrack3.0/tree/Group10StableBranch/.github/workflows,3,
Use of code coverage,codecov  https://github.com/nehajaideep/WolfTrack3.0/tree/Group10StableBranch/.github/workflows,2,
Other automated analysis tools,pytest flake8 https://github.com/nehajaideep/WolfTrack3.0/tree/Group10StableBranch/.github/workflows,3,
Test cases exist,yes https://github.com/nehajaideep/WolfTrack3.0/tree/Group10StableBranch/UnitTesting,3,
Test cases are routinely executed,no. Only at the time of deployment,2,
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/CONTRIBUTING.md,3,
Issues are discussed before they are closed,yes,3,
Chat channel: exists,none,0,
Test cases: a large proportion of the issues related to handling failing cases.,https://github.com/nehajaideep/WolfTrack3.0/issues?q=is%3Aissue+is%3Aclosed+label%3A%22failing+testcase%22,1,
Evidence that the whole team is using the same tools: everyone can get to all tools and files,yes in GIT,2,
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",Not uniform access of config files by all contributors,2,
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",,,
Evidence that the members of the team are working across multiple places in the code base,"yes in GIT. commits across config ,backend and frontend",3,
Short release cycles,very few relases,2,
,,,
,,,
Questions,Evidence,Rating (if any),Response 
